n,deterministic_time,inbuilt_time
200,0.749458,0.000122977
199,0.764423,0.000331312
198,0.749992,0.000236804
197,0.748144,0.000136962
196,0.778522,0.0001475
195,0.79962,0.000121102
194,0.754217,0.000140116
193,0.712912,0.000173582
192,0.718684,0.000173162
191,0.74453,0.000141615
190,0.729863,0.000131394
189,0.667482,0.000164609
188,0.62172,0.000269
187,0.607703,0.000138913
186,0.615429,0.00019902
185,0.677155,0.000193475
184,0.634145,0.0001822
183,0.633331,0.000246158
182,0.63844,0.000142988
181,0.636945,0.000244142
180,0.641182,0.00031616
179,0.604494,0.000257391
178,0.652254,0.000155701
177,0.583244,0.000195838
176,0.554411,0.000194201
175,0.648405,0.000151447
174,0.510188,0.000144062
173,0.515104,0.00017663
172,0.483556,0.000102915
171,0.489033,0.000111378
170,0.463355,0.000262993
169,0.453934,0.000142416
168,0.45799,0.000201966
167,0.459846,0.000127907
166,0.424049,0.000178483
165,0.430416,0.000212371
164,0.429121,0.000103638
163,0.432298,0.000200274
162,0.421589,0.00028766
161,0.409796,0.000120406
160,0.399473,0.000225604
159,0.387903,0.000116647
158,0.374382,0.000150588
157,0.360052,0.000161343
156,0.359968,0.000110622
155,0.354002,0.000108328
154,0.369116,0.00013733
153,0.349611,0.000125904
152,0.355555,0.000181817
151,0.353846,0.000185528
150,0.355679,0.000247703
149,0.351991,0.000191055
148,0.349336,9.2239e-05
147,0.338322,0.000124845
146,0.310197,0.000205971
145,0.323017,0.000191289
144,0.31144,0.000109822
143,0.296457,0.000215035
142,0.296084,0.000324418
141,0.290973,0.000154309
140,0.292559,8.3609e-05
139,0.288539,0.000165139
138,0.270979,0.000110522
137,0.285619,0.000155745
136,0.268797,0.000188617
135,0.2633,0.000188441
134,0.323828,0.00010736
133,0.282002,0.000141186
132,0.230208,0.000153408
131,0.231038,0.000121928
130,0.215811,0.000146224
129,0.226352,0.000148465
128,0.204047,0.000282195
127,0.208142,0.000133503
126,0.203744,0.000120262
125,0.188014,0.000152481
124,0.189973,0.000141057
123,0.183118,0.000119989
122,0.180852,0.000131726
121,0.171488,0.00011408
120,0.174269,0.000114477
119,0.164595,8.2408e-05
118,0.16655,0.00011461
117,0.166647,0.000116241
116,0.144294,7.0869e-05
115,0.148045,0.00012533
114,0.147962,0.000101492
113,0.15021,0.00015454
112,0.141692,9.9995e-05
111,0.131817,8.0604e-05
110,0.129139,0.000141574
109,0.12433,9.0908e-05
108,0.12138,7.8097e-05
107,0.115638,0.000144066
106,0.116435,8.0226e-05
105,0.113488,8.5992e-05
104,0.107279,0.000105791
103,0.105156,9.2125e-05
102,0.109229,8.2112e-05
101,0.0948512,6.9754e-05
100,0.0967176,0.000145962
99,0.0976184,0.000108944
98,0.0920156,0.000103244
97,0.0877608,0.000108033
96,0.0815711,9.7831e-05
95,0.0859917,0.000104398
94,0.0832257,8.0956e-05
93,0.0843112,0.000101465
92,0.0773501,0.000273362
91,0.0780179,0.000157975
90,0.0684364,9.2329e-05
89,0.0656154,0.0001073
88,0.0638038,4.7856e-05
87,0.0611235,6.9813e-05
86,0.0628161,6.1581e-05
85,0.0576128,0.000105715
84,0.058205,8.902e-05
83,0.056976,0.000107015
82,0.0559047,0.000100913
81,0.0482147,5.2668e-05
80,0.0483184,0.000154704
79,0.0477753,0.000106325
78,0.04588,5.0533e-05
77,0.0410146,9.0689e-05
76,0.0422632,5.9474e-05
75,0.0403573,9.8623e-05
74,0.0405224,6.6798e-05
73,0.0410149,0.000107824
72,0.0356341,4.6408e-05
71,0.0348044,7.2133e-05
70,0.0369052,3.8177e-05
69,0.0331474,9.2604e-05
68,0.0322713,0.000100439
67,0.0311491,5.5099e-05
66,0.0295372,0.000103691
65,0.0284241,6.7556e-05
64,0.027003,9.2619e-05
63,0.0257554,9.8439e-05
62,0.0245578,5.933e-05
61,0.0235464,8.5507e-05
60,0.0221945,7.545e-05
59,0.0209194,4.4704e-05
58,0.0205264,0.000100545
57,0.0169545,7.6019e-05
56,0.0154298,6.5024e-05
55,0.0148273,5.8864e-05
54,0.0141978,5.9178e-05
53,0.0135466,4.8629e-05
52,0.0173402,0.0001545
51,0.0126963,6.5456e-05
50,0.0119664,6.8615e-05
49,0.0121629,5.4342e-05
48,0.0112736,6.5385e-05
47,0.0103468,4.6911e-05
46,0.0097606,8.7284e-05
45,0.00909635,6.8893e-05
44,0.00874721,5.1525e-05
43,0.00799446,5.0842e-05
42,0.00735732,5.2866e-05
41,0.00690408,4.405e-05
40,0.00651428,2.3073e-05
39,0.00596499,6.4679e-05
38,0.00556244,4.7829e-05
37,0.00538279,4.169e-05
36,0.00457558,3.797e-05
35,0.00419067,3.0467e-05
34,0.00396156,2.429e-05
33,0.00366496,3.5976e-05
32,0.00324423,5.0353e-05
31,0.00288228,3.7076e-05
30,0.00265439,3.9698e-05
29,0.00243887,2.9437e-05
28,0.00228388,2.6445e-05
27,0.00195756,4.5802e-05
26,0.00167828,1.8229e-05
25,0.00152181,3.3557e-05
24,0.00154296,3.3743e-05
23,0.00152354,3.777e-05
22,0.00123227,3.5622e-05
21,0.00107935,3.3192e-05
20,0.000961451,3.9202e-05
19,0.000814738,2.1974e-05
18,0.000873786,6.0689e-05
17,0.000447545,4.3947e-05
16,0.000320954,1.5369e-05
15,0.000409595,3.3281e-05
