n,Expected_n/2,Expected_sqrt(n)
4,1.561,1.583
5,2.326,2.347
6,2.061,3.054
7,2.669,3.785
8,2.321,4.564
9,2.827,3.909
10,2.48,4.486
11,2.912,4.959
12,2.695,5.662
13,2.99,6.317
14,2.722,6.816
15,3.175,7.592
16,2.838,6.328
17,3.085,6.928
18,2.821,7.373
19,3.145,8.032
20,2.806,8.09
21,3.117,8.729
22,2.978,9.605
23,3.133,9.874
24,2.918,10.237
25,3.149,8.786
26,2.901,9.406
27,3.157,9.73
28,3.068,10.199
29,3.16,10.353
30,2.837,11.099
31,3.12,11.436
32,2.96,11.855
33,3.138,12.558
34,2.879,12.652
35,3.019,13.349
36,3.019,11.493
37,3.159,11.868
38,2.948,12.279
39,3.232,12.777
40,2.914,13.02
41,3.072,13.141
42,2.983,13.629
43,3.18,14.105
44,3.066,14.483
45,3.146,14.83
46,2.983,15.132
47,3.135,15.649
48,3.055,15.877
49,3.133,14.801
50,3.083,14.654
51,3.09,14.742
52,2.908,15.146
53,3.253,15.631
54,2.907,15.795
55,3.111,16.158
56,2.994,16.346
57,3,17.085
58,3.114,16.583
59,3.151,17.42
60,2.984,17.925
61,3.029,18.321
62,2.984,18.381
63,3.133,19.376
64,2.893,16.559
65,3.13,17.603
66,3.018,17.534
67,3.099,17.822
68,3.063,18.322
69,3.222,18.547
70,3.052,18.86
71,2.99,19.123
72,3.024,19.392
73,3.012,19.307
74,3.005,19.604
75,3.094,20.452
76,2.869,20.386
77,3.055,20.744
78,2.966,21.461
79,2.957,21.049
80,3.087,21.064
81,3.014,19.409
82,3.138,19.889
83,3.263,19.29
84,2.982,20.178
85,3.017,20.347
86,3.096,20.775
87,2.968,20.988
88,3.082,21.31
89,2.985,21.332
90,3.108,22.058
91,3.055,21.86
92,2.975,22.61
93,3.095,22.904
94,3.041,22.725
95,3.023,23.79
96,3.079,23.427
97,2.977,23.808
98,3.046,23.907
99,3.165,23.889
100,3.081,22.817
101,3.047,22.558
102,3.016,22.737
103,2.943,22.723
104,3.002,22.869
105,2.943,23.422
106,2.849,24.118
107,3.067,23.863
108,2.92,24.725
109,2.983,24.75
110,3.06,24.486
111,2.952,24.402
112,3.03,24.907
113,3.009,25.63
114,3.036,26.003
115,2.859,25.213
116,3.084,26.28
117,2.985,26.114
118,2.972,26.053
119,2.958,26.295
120,3.101,27.472
121,2.985,24.295
122,2.85,25.238
123,3.094,25.799
124,2.968,25.827
125,3.008,25.717
126,2.835,25.126
127,2.866,26.074
128,2.932,26.441
129,2.849,27.048
130,2.902,26.333
131,2.934,26.762
132,2.904,26.889
133,2.93,27.338
134,2.972,28.363
135,3.049,28.487
136,2.935,27.746
137,2.823,27.401
138,2.882,28.682
139,3.013,28.79
140,3.013,28.777
141,3.062,28.492
142,2.988,29.703
143,2.936,28.799
144,2.964,27.622
145,3.096,28.163
146,3.081,28.351
147,2.951,28.191
148,3.028,28.691
149,3.065,28.92
150,2.87,28.419
151,2.871,29.304
152,2.93,29.984
153,3.027,28.676
154,2.903,29.177
155,3.082,29.207
156,3.143,29.526
157,2.984,29.983
158,2.785,30.443
159,3.206,29.982
160,2.966,30.638
161,3.164,31.337
162,2.989,31.387
163,3.108,30.73
164,2.907,31.257
165,2.979,31.331
166,2.965,31.915
167,3.007,32.265
168,3.027,32.399
169,3.043,30.059
170,2.895,30.307
171,2.934,30.411
172,3.211,29.998
173,3.038,30.263
174,3.035,30.472
175,2.96,30.756
176,2.926,32.352
177,2.997,31.841
178,3.049,32.996
179,2.968,32.407
180,3.069,32.625
181,3.13,33.214
182,3.058,32.397
183,3.15,32.496
184,2.866,34.174
185,3.058,31.634
186,2.875,32.184
187,2.995,32.69
188,2.952,33.741
189,2.925,32.34
190,2.908,33.282
191,3.078,34.19
192,2.966,34.158
193,3.016,34.434
194,2.969,34.999
195,3.021,35.672
196,3.015,31.892
197,3.002,32.315
198,2.922,33.289
199,3.088,33.923
200,2.924,33.006
201,2.918,33.15
202,2.958,32.317
203,2.94,32.997
204,2.893,34.495
205,2.937,33.658
206,2.986,34.816
207,2.911,34.812
208,2.999,34.646
209,3.073,34.822
210,2.951,35.018
211,3.029,34.802
212,2.872,36.028
213,3.142,36.691
214,3.117,36.164
215,3.079,35.321
216,2.982,35.789
217,2.915,37.011
218,2.974,36.496
219,2.911,35.968
220,2.798,37.249
221,3.121,37.788
222,3.023,37.806
223,2.964,38.374
224,2.969,37.599
225,2.952,35.699
226,3.026,35.681
227,2.835,35.568
228,2.956,35.752
229,2.997,35.147
230,2.963,37.004
231,3.066,34.996
232,2.993,36.127
233,3.065,36.26
234,2.981,36.574
235,3.026,35.753
236,2.84,37.262
237,3.134,39.02
238,2.963,36.61
239,3.093,37.17
240,3.012,37.721
241,2.951,37.443
242,2.941,39.637
243,2.852,37.782
244,3.003,38.984
245,3.101,37.952
246,2.908,38.562
247,3.02,38.657
248,2.941,39.996
249,2.969,39.4
250,3.041,38.638
251,2.983,39.709
252,2.885,40.478
253,2.899,39.462
254,3.074,40.312
255,2.958,39.762
256,2.97,37.203
257,2.996,37.763
258,3.02,38.883
259,2.932,38.405
